I0723 14:26:48.622552       1 options.go:102] AgentCert set to "/certs/client.crt".
I0723 14:26:48.622608       1 options.go:103] AgentKey set to "/certs/client.key".
I0723 14:26:48.622614       1 options.go:104] CACert set to "/certs/ca.crt".
I0723 14:26:48.622619       1 options.go:105] ProxyServerHost set to "sonobuoy-test-dns-a72ecff9.hcp.canadacentral.azmk8s.io".
I0723 14:26:48.622625       1 options.go:106] ProxyServerPort set to 443.
I0723 14:26:48.622630       1 options.go:107] ALPNProtos set to [konnectivity].
I0723 14:26:48.622638       1 options.go:108] HealthServerHost set to 
I0723 14:26:48.622645       1 options.go:109] HealthServerPort set to 8082.
I0723 14:26:48.622663       1 options.go:110] AdminServerPort set to 8094.
I0723 14:26:48.622668       1 options.go:111] EnableProfiling set to false.
I0723 14:26:48.622673       1 options.go:112] EnableContentionProfiling set to false.
I0723 14:26:48.622679       1 options.go:113] AgentID set to 6f2dcd24-b922-457d-8902-c66c9a19cf9e.
I0723 14:26:48.622684       1 options.go:114] SyncInterval set to 1s.
I0723 14:26:48.622692       1 options.go:115] ProbeInterval set to 1s.
I0723 14:26:48.622698       1 options.go:116] SyncIntervalCap set to 10s.
I0723 14:26:48.622706       1 options.go:117] Keepalive time set to 30s.
I0723 14:26:48.622712       1 options.go:118] ServiceAccountTokenPath set to "".
I0723 14:26:48.622719       1 options.go:119] AgentIdentifiers set to .
I0723 14:26:48.622724       1 options.go:120] WarnOnChannelLimit set to false.
I0723 14:26:48.622744       1 options.go:121] SyncForever set to false.
I0723 14:26:48.732099       1 client.go:254] "Connect to" server="04c750cb-b3ac-4e79-beda-81d2586f29d7"
I0723 14:26:48.732127       1 clientset.go:222] "sync added client connecting to proxy server" serverID="04c750cb-b3ac-4e79-beda-81d2586f29d7"
I0723 14:26:48.732161       1 client.go:356] "Start serving" serverID="04c750cb-b3ac-4e79-beda-81d2586f29d7"
I0723 14:26:49.926831       1 client.go:254] "Connect to" server="ed0bd2a4-3333-4d3d-81d4-9780cd29e72f"
I0723 14:26:49.926887       1 clientset.go:222] "sync added client connecting to proxy server" serverID="ed0bd2a4-3333-4d3d-81d4-9780cd29e72f"
I0723 14:26:49.926910       1 client.go:356] "Start serving" serverID="ed0bd2a4-3333-4d3d-81d4-9780cd29e72f"
I0723 14:26:51.131273       1 client.go:254] "Connect to" server="6987efdd-e001-4f49-83fd-45dac80ea226"
I0723 14:26:51.131302       1 clientset.go:222] "sync added client connecting to proxy server" serverID="6987efdd-e001-4f49-83fd-45dac80ea226"
I0723 14:26:51.131333       1 client.go:356] "Start serving" serverID="6987efdd-e001-4f49-83fd-45dac80ea226"
I0723 14:26:52.333009       1 client.go:254] "Connect to" server="47fea0a7-4c09-4638-b943-46e32a4b268b"
I0723 14:26:52.333039       1 clientset.go:222] "sync added client connecting to proxy server" serverID="47fea0a7-4c09-4638-b943-46e32a4b268b"
I0723 14:26:52.333060       1 client.go:356] "Start serving" serverID="47fea0a7-4c09-4638-b943-46e32a4b268b"
