I0723 14:11:39.092815       1 options.go:102] AgentCert set to "/certs/client.crt".
I0723 14:11:39.092883       1 options.go:103] AgentKey set to "/certs/client.key".
I0723 14:11:39.092890       1 options.go:104] CACert set to "/certs/ca.crt".
I0723 14:11:39.092896       1 options.go:105] ProxyServerHost set to "sonobuoy-test-dns-a72ecff9.hcp.canadacentral.azmk8s.io".
I0723 14:11:39.092903       1 options.go:106] ProxyServerPort set to 443.
I0723 14:11:39.092909       1 options.go:107] ALPNProtos set to [konnectivity].
I0723 14:11:39.092939       1 options.go:108] HealthServerHost set to 
I0723 14:11:39.092945       1 options.go:109] HealthServerPort set to 8082.
I0723 14:11:39.092951       1 options.go:110] AdminServerPort set to 8094.
I0723 14:11:39.092957       1 options.go:111] EnableProfiling set to false.
I0723 14:11:39.092963       1 options.go:112] EnableContentionProfiling set to false.
I0723 14:11:39.092969       1 options.go:113] AgentID set to 42958707-5dea-4dce-b4f0-5b6d09c8085a.
I0723 14:11:39.092976       1 options.go:114] SyncInterval set to 1s.
I0723 14:11:39.092985       1 options.go:115] ProbeInterval set to 1s.
I0723 14:11:39.092994       1 options.go:116] SyncIntervalCap set to 10s.
I0723 14:11:39.093002       1 options.go:117] Keepalive time set to 30s.
I0723 14:11:39.093009       1 options.go:118] ServiceAccountTokenPath set to "".
I0723 14:11:39.093017       1 options.go:119] AgentIdentifiers set to .
I0723 14:11:39.093024       1 options.go:120] WarnOnChannelLimit set to false.
I0723 14:11:39.093031       1 options.go:121] SyncForever set to false.
I0723 14:11:39.235492       1 client.go:254] "Connect to" server="ed0bd2a4-3333-4d3d-81d4-9780cd29e72f"
I0723 14:11:39.235545       1 clientset.go:222] "sync added client connecting to proxy server" serverID="ed0bd2a4-3333-4d3d-81d4-9780cd29e72f"
I0723 14:11:39.235590       1 client.go:356] "Start serving" serverID="ed0bd2a4-3333-4d3d-81d4-9780cd29e72f"
I0723 14:11:40.430243       1 client.go:254] "Connect to" server="47fea0a7-4c09-4638-b943-46e32a4b268b"
I0723 14:11:40.430359       1 clientset.go:222] "sync added client connecting to proxy server" serverID="47fea0a7-4c09-4638-b943-46e32a4b268b"
